Back,Back,module,Magento_User
Reset,Reset,module,Magento_User
"Delete Role","Delete Role",module,Magento_User
"Are you sure you want to do this?","Are you sure you want to do this?",module,Magento_User
"Save Role","Save Role",module,Magento_User
Roles,Roles,module,Magento_User
"Add New Role","Add New Role",module,Magento_User
"Role Information","Role Information",module,Magento_User
"Role Users","Role Users",module,Magento_User
"User ID","User ID",module,Magento_User
"User Name","User Name",module,Magento_User
"First Name","First Name",module,Magento_User
"Last Name","Last Name",module,Magento_User
Email,Email,module,Magento_User
Status,Status,module,Magento_User
Active,Active,module,Magento_User
Inactive,Inactive,module,Magento_User
"Role Resources","Role Resources",module,Magento_User
"Role Info","Role Info",module,Magento_User
"Role Name","Role Name",module,Magento_User
"Current User Identity Verification","Current User Identity Verification",module,Magento_User
"Your Password","Your Password",module,Magento_User
"Add New User","Add New User",module,Magento_User
Users,Users,module,Magento_User
"Save User","Save User",module,Magento_User
"Delete User","Delete User",module,Magento_User
"Are you sure you want to revoke the user's tokens?","Are you sure you want to revoke the user's tokens?",module,Magento_User
"Force Sign-In","Force Sign-In",module,Magento_User
"Edit User '%1'","Edit User '%1'",module,Magento_User
"New User","New User",module,Magento_User
"Account Information","Account Information",module,Magento_User
"User Email","User Email",module,Magento_User
Password,Password,module,Magento_User
"New Password","New Password",module,Magento_User
"Password Confirmation","Password Confirmation",module,Magento_User
"Interface Locale","Interface Locale",module,Magento_User
"This account is","This account is",module,Magento_User
"Account Status","Account Status",module,Magento_User
"User Roles Information","User Roles Information",module,Magento_User
Assigned,Assigned,module,Magento_User
Role,Role,module,Magento_User
"User Information","User Information",module,Magento_User
"User Info","User Info",module,Magento_User
"User Role","User Role",module,Magento_User
"Please correct the password reset token.","Please correct the password reset token.",module,Magento_User
"Please specify the correct account and try again.","Please specify the correct account and try again.",module,Magento_User
"Your password reset link has expired.","Your password reset link has expired.",module,Magento_User
"We're unable to send the password reset email.","We're unable to send the password reset email.",module,Magento_User
"We'll email you a link to reset your password.","We'll email you a link to reset your password.",module,Magento_User
"Please correct this email address:","Please correct this email address:",module,Magento_User
"Please enter an email address.","Please enter an email address.",module,Magento_User
"You updated your password.","You updated your password.",module,Magento_User
"Locked Users","Locked Users",module,Magento_User
"Unlocked %1 user(s).","Unlocked %1 user(s).",module,Magento_User
System,System,module,Magento_User
Permissions,Permissions,module,Magento_User
"You cannot delete your own account.","You cannot delete your own account.",module,Magento_User
"The password entered for the current user is invalid. Verify the password and try again.","The password entered for the current user is invalid. Verify the password and try again.",module,Magento_User
"You deleted the user.","You deleted the user.",module,Magento_User
"We can't find a user to delete.","We can't find a user to delete.",module,Magento_User
"This user no longer exists.","This user no longer exists.",module,Magento_User
"Edit User","Edit User",module,Magento_User
"You have revoked the user's tokens.","You have revoked the user's tokens.",module,Magento_User
"We can't find a user to revoke.","We can't find a user to revoke.",module,Magento_User
"You cannot delete self-assigned roles.","You cannot delete self-assigned roles.",module,Magento_User
"We can't find a role to delete.","We can't find a role to delete.",module,Magento_User
"You deleted the role.","You deleted the role.",module,Magento_User
"An error occurred while deleting this role.","An error occurred while deleting this role.",module,Magento_User
"Edit Role","Edit Role",module,Magento_User
"New Role","New Role",module,Magento_User
"This role no longer exists.","This role no longer exists.",module,Magento_User
"You saved the role.","You saved the role.",module,Magento_User
"An error occurred while saving this role.","An error occurred while saving this role.",module,Magento_User
"You saved the user.","You saved the user.",module,Magento_User
Administrator,Administrator,module,Magento_User
"A user with the same user name or email already exists.","A user with the same user name or email already exists.",module,Magento_User
Recommended,Recommended,module,Magento_User
Forced,Forced,module,Magento_User
"Sorry, but this password has already been used. Please create another.","Sorry, but this password has already been used. Please create another.",module,Magento_User
email,email,module,Magento_User
password,password,module,Magento_User
username,username,module,Magento_User
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.",module,Magento_User
"More permissions are needed to access this.","More permissions are needed to access this.",module,Magento_User
"The password reset token is incorrect. Verify the token and try again.","The password reset token is incorrect. Verify the token and try again.",module,Magento_User
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later.",module,Magento_User
"""User Name"" is required. Enter and try again.","""User Name"" is required. Enter and try again.",module,Magento_User
"""First Name"" is required. Enter and try again.","""First Name"" is required. Enter and try again.",module,Magento_User
"""Last Name"" is required. Enter and try again.","""Last Name"" is required. Enter and try again.",module,Magento_User
"Please enter a valid email.","Please enter a valid email.",module,Magento_User
"Password is required field.","Password is required field.",module,Magento_User
"Your password must be at least %1 characters.","Your password must be at least %1 characters.",module,Magento_User
"Your password must include both numeric and alphabetic characters.","Your password must include both numeric and alphabetic characters.",module,Magento_User
"Your password confirmation must match your password.","Your password confirmation must match your password.",module,Magento_User
"It's time to change your password.","It's time to change your password.",module,Magento_User
"It's time to <a href=""%1"">change your password</a>.","It's time to <a href=""%1"">change your password</a>.",module,Magento_User
"Your password has expired; please contact your administrator.","Your password has expired; please contact your administrator.",module,Magento_User
"Password Help","Password Help",module,Magento_User
"Enter your email address.  You will receive an email with a link to reset your password.","Enter your email address.  You will receive an email with a link to reset your password.",module,Magento_User
"Email address","Email address",module,Magento_User
"Retrieve Password","Retrieve Password",module,Magento_User
"Back to Sign in","Back to Sign in",module,Magento_User
"Forgot your password?","Forgot your password?",module,Magento_User
"Reset a Password","Reset a Password",module,Magento_User
"Confirm New Password","Confirm New Password",module,Magento_User
"Reset Password","Reset Password",module,Magento_User
"Roles Resources","Roles Resources",module,Magento_User
"Resource Access","Resource Access",module,Magento_User
Custom,Custom,module,Magento_User
All,All,module,Magento_User
Resources,Resources,module,Magento_User
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?",module,Magento_User
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?",module,Magento_User
